n         X1          X2        X3          X4         X5
1   31.87506  8.6314726 2.9096783  2.218043807  468.3455
2   32.72163  2.0974900 1.1779469  0.427142745  345.1987
3   33.61926  8.3043145 2.3450254  1.119233964  720.5415
4   34.23040 13.5594982 3.7384279  2.364583347  860.7312
5   31.49896 17.9296188 1.9928136  0.003204385  691.5224
6   38.32491 13.5012647 3.7461722  2.425641659  380.7846
7   37.13686 11.7066273 3.5088056  2.211284610  788.4717
8   35.44139  9.5224232 4.5526679  3.589360968  328.4010
9   33.51900 13.4639764 1.4546948  0.010463060  347.9972
10  35.18987 10.8381211 3.6493020  2.741387482  509.6737
11  29.49127 16.1714501 2.7012388  0.791841958  771.6316
12  36.47069  3.8833805 2.6529366  1.903403806  520.6815
13  31.45880 13.2411864 3.8704048  2.729428503  576.8809
14  40.48675  9.0122868 2.1516825  1.115795886  475.3505
15  32.57117  2.3341380 1.9820429  1.588628600  751.0892
16  36.72258 15.8500626 1.9108518  0.821348813  932.3188
17  37.59801  6.9700562 1.5404173  0.790420583  990.7521
18  32.73816  9.2108082 3.3430591  2.045174001  663.3672
19  41.47434 18.6432693 3.2064201  1.356611984  862.2937
20  33.85756 12.8573406 3.5273586  2.566304440  555.1285
21  33.23937 14.1268735 2.1547005  0.626127563  232.1171
22  34.81353  8.6698751 4.4310384  3.254775953  843.5824
23  36.11910 15.2454835 2.9112968  1.393066496  217.0561
24  39.00389 10.6590353 3.2829462  2.963140495  298.4084
25  34.70608 11.0505336 2.6827474  1.477587112  913.9051
26  34.24471 18.0265813 3.1689893  1.440964401  962.2939
27  36.88914 14.5938731 3.1322193  1.913711790  790.3780
28  29.27593  1.6488289 1.3119338  0.669978062  777.9283
29  36.11706 23.1139863 5.1442330  2.725574294  225.9738
30  34.96641 10.6233516 2.8087291  1.442170522  709.2556
31  28.45240 14.6085339 3.1162095  1.165345067  166.8326
32  36.16605 17.9063779 3.0500941  1.535530852  701.0338
33  32.00654  0.6111948 1.1765787  0.749482619  868.6542
34  34.17006 17.3131076 4.7345380  3.617045551  629.7295
35  33.73022  4.0267960 2.9358473  2.310702642  518.1133
36  35.93415  6.4030281 2.3033945  1.500946632  903.2946
37  35.76004 13.6361602 2.6788522  1.565438644  446.7007
38  31.77917 16.4306146 5.0491447  3.812957783  683.3651
39  35.76348 19.5895986 3.8977957  1.939240075  685.3797
40  33.33182 22.0949402 3.3557266  1.642478397  768.3761
41  31.75803  9.3727013 0.8960774  0.197270446  759.7076
42  38.10841 18.9397748 4.0978953  2.460051622  334.0786
43  38.37100 21.4556191 4.8019521  2.949034958  669.0109
44  35.71656  4.4358770 2.3619897  1.419765582  605.5876
45  32.17509 14.4822311 3.4702094  1.647768098  927.9532
46  42.06446 14.6276161 4.6889547  3.291899245  481.6557
47  33.79976 18.4672238 4.6430800  2.493227323  494.5531
